dataset,source,source_url,license_terms,accepted_license_whitelist,count,date_acquired,status,notes
plantnet300k-v2,Zenodo,https://zenodo.org/records/10419064,cc-by-4.0; per-image metadata includes cc-by-sa/cc-by-nc/cc-by-nc-sa,"[""cc-by"", ""cc-by-4.0"", ""cc-by-nc"", ""cc-by-nc-4.0"", ""cc-by-nc-sa"", ""cc-by-nc-sa-4.0"", ""cc-by-sa"", ""cc-by-sa-4.0"", ""cc0""]",306087,2026-05-24,metadata_acquired_images_pending_storage,Full image archive is 41.8 GB compressed; not retained until storage check passes.
gbif-inat,GBIF occurrence API / iNaturalist Research-grade Observations,https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7,Per-image GBIF media license,"[""cc-by"", ""cc-by-4.0"", ""cc-by-nc"", ""cc-by-nc-4.0"", ""cc-by-nc-sa"", ""cc-by-nc-sa-4.0"", ""cc-by-sa"", ""cc-by-sa-4.0"", ""cc0""]",4600,2026-05-25,images_materialized,Filtered at pull time to accepted licenses and North America country codes.
plantnet300k-v2,Zenodo,https://zenodo.org/records/10419064,cc-by-4.0 dataset record; per-image metadata license still enforced during materialization,"[""cc-by"", ""cc-by-4.0"", ""cc-by-nc"", ""cc-by-nc-4.0"", ""cc-by-nc-sa"", ""cc-by-nc-sa-4.0"", ""cc-by-sa"", ""cc-by-sa-4.0"", ""cc0""]",306087,2026-05-25,archive_partial,Partial archive stored at /Users/conorrybacki/Programs/pocket-crockett/vision/sources/plantnet300k-v2/images.zip: 144365996 of 41819638938 bytes. Re-run download-plantnet-images to resume.
plantnet300k-v2,Zenodo,https://zenodo.org/records/10419064,cc-by-4.0 dataset record; per-image metadata license still enforced during materialization,"[""cc-by"", ""cc-by-4.0"", ""cc-by-nc"", ""cc-by-nc-4.0"", ""cc-by-nc-sa"", ""cc-by-nc-sa-4.0"", ""cc-by-sa"", ""cc-by-sa-4.0"", ""cc0""]",306087,2026-05-25,archive_partial_segmented,"Segmented archive parts at /Users/conorrybacki/Programs/pocket-crockett/vision/sources/plantnet300k-v2/images.zip.parts: 18724948837 of 41819638938 bytes, 274/624 parts complete."
plantnet300k-v2,Zenodo,https://zenodo.org/records/10419064,cc-by-4.0 dataset record; per-image metadata license still enforced during materialization,"[""cc-by"", ""cc-by-4.0"", ""cc-by-nc"", ""cc-by-nc-4.0"", ""cc-by-nc-sa"", ""cc-by-nc-sa-4.0"", ""cc-by-sa"", ""cc-by-sa-4.0"", ""cc0""]",306087,2026-05-25,archive_downloaded_parts,"Segmented archive parts at /Users/conorrybacki/Programs/pocket-crockett/vision/sources/plantnet300k-v2/images.zip.parts: 41819638938 of 41819638938 bytes, 624/624 parts complete."
plantnet300k-v2,Zenodo,https://zenodo.org/records/10419064,cc-by-4.0 dataset record; retained images filtered by per-image CC metadata,"[""cc-by"", ""cc-by-4.0"", ""cc-by-nc"", ""cc-by-nc-4.0"", ""cc-by-nc-sa"", ""cc-by-nc-sa-4.0"", ""cc-by-sa"", ""cc-by-sa-4.0"", ""cc0""]",306076,2026-05-25,images_materialized,Only whitelisted-license images retained.
gbif-inat-toxic-round2,GBIF occurrence API / iNaturalist Research-grade Observations,https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7,Per-image GBIF media license,"[""cc-by"", ""cc-by-4.0"", ""cc-by-nc"", ""cc-by-nc-4.0"", ""cc-by-nc-sa"", ""cc-by-nc-sa-4.0"", ""cc-by-sa"", ""cc-by-sa-4.0"", ""cc0""]",6002,2026-05-25,images_materialized,Toxic/deadly NA targets boosted toward 300-500 images; filtered at pull time to accepted licenses and North America country codes.
